MSG_TYPE,TRANSACTION_ID,NUM_RECORDS,KEY,NAME,TYPE,SUBTYPE,OWNER,SCENE_ID,TRN_X,TRN_Y,TRN_Z,RE_X,RE_Y,RE_Z,RQ_W,RQ_X,RQ_Y,RQ_Z,SCL_X,SCL_Y,SCL_Z,ASSET_ID
0,12345,1,ABCDEF124,Test Object1,Mesh,Cube,123,DEFGHI1,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_1
0,12346,1,ABCDEF125,Test Object2,Mesh,Cube,123,DEFGHI2,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_1
0,12347,1,ABCDEF126,Test Object3,Mesh,Cube,123,DEFGHI3,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_2
0,12348,1,ABCDEF127,Test Object4,Mesh,Cube,123,DEFGHI4,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_2
0,12349,1,ABCDEF128,Test Object5,Mesh,Cube,123,DEFGHI5,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_3
0,12350,1,ABCDEF129,Test Object6,Mesh,Cube,123,DEFGHI6,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_3
0,12351,1,ABCDEF130,Test Object7,Mesh,Cube,123,DEFGHI7,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_4
0,12352,1,ABCDEF131,Test Object8,Mesh,Cube,123,DEFGHI8,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_4
0,12353,1,ABCDEF132,Test Object9,Mesh,Cube,123,DEFGHI9,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_5
0,12354,1,ABCDEF133,Test Object10,Mesh,Cube,123,DEFGHI10,0,0,0,0,0,0,0,0,0,0,1,1,1,Asset_5
